id_x,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count,id_y,season,sentiment
27118,92,20,Homer Simpson: (ABSENTLY) Can't talk. Robbed. Go hell.,188000,true,2,5.0,Homer Simpson,Simpson Home,Can't talk. Robbed. Go hell.,cant talk robbed go hell,5,92,5,
27098,92,0,(Simpson Home: Ext. Simpson House - night - establishing),10000,false,,5.0,,Simpson Home,,,,92,5,
27099,92,1,Bart Simpson: Dad! We've been robbed!,10000,true,8,5.0,Bart Simpson,Simpson Home,Dad! We've been robbed!,dad weve been robbed,4,92,5,
27100,92,2,"Lisa Simpson: (SHAKING HIM) Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",96000,true,9,5.0,Lisa Simpson,Simpson Home,"Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",wake up dad wake up there was a burglar and he took my saxophone,14,92,5,
27101,92,3,Homer Simpson: Woo hoo!,137000,true,2,5.0,Homer Simpson,Simpson Home,Woo hoo!,woo hoo,2,92,5,
27102,92,4,Bart Simpson: And our portable TV!,140000,true,8,5.0,Bart Simpson,Simpson Home,And our portable TV!,and our portable tv,4,92,5,
27103,92,5,Homer Simpson: (ANNOYED GRUNT),140000,false,2,5.0,Homer Simpson,Simpson Home,,,,92,5,
27104,92,6,Marge Simpson: And my necklace.,142000,true,1,5.0,Marge Simpson,Simpson Home,And my necklace.,and my necklace,3,92,5,
27105,92,7,"Homer Simpson: Eh, that's no big loss.",142000,true,2,5.0,Homer Simpson,Simpson Home,"Eh, that's no big loss.",eh thats no big loss,5,92,5,
27106,92,8,Marge Simpson: Homer! That necklace was a priceless Bouvier family heirloom.,144000,true,1,5.0,Marge Simpson,Simpson Home,Homer! That necklace was a priceless Bouvier family heirloom.,homer that necklace was a priceless bouvier family heirloom,9,92,5,
27107,92,9,"Homer Simpson: (SNORTS) Oh, you've probably got a whole drawer full of 'em.",148000,true,2,5.0,Homer Simpson,Simpson Home,"Oh, you've probably got a whole drawer full of 'em.",oh youve probably got a whole drawer full of em,10,92,5,
27108,92,10,"Marge Simpson: (UNCOMFORTABLE) Well... Yes, I do. But they're all heirlooms, too.",150000,true,1,5.0,Marge Simpson,Simpson Home,"Well... Yes, I do. But they're all heirlooms, too.",well yes i do but theyre all heirlooms too,9,92,5,
27109,92,11,Bart Simpson: The burglar even took my stamp collection.,155000,true,8,5.0,Bart Simpson,Simpson Home,The burglar even took my stamp collection.,the burglar even took my stamp collection,7,92,5,
27110,92,12,Lisa Simpson: (AMUSED) YOU had a stamp collection?,157000,true,9,5.0,Lisa Simpson,Simpson Home,YOU had a stamp collection?,you had a stamp collection,5,92,5,
27111,92,13,Marge Simpson: (LAUGHS UPROARIOUSLY),157000,false,1,5.0,Marge Simpson,Simpson Home,,,,92,5,
